Order;Word;Frequency
1;the;206665
2;of;116794
3;and;101592
4;to;84205
5;a;65407
6;in;57987
7;i;39893
8;that;38070
9;was;34649
10;it;32735
11;he;28665
12;his;27861
13;as;25176
14;with;24997
15;for;22823
16;is;22141
17;had;20896
18;at;19444
19;on;19058
20;by;18655
21;you;18465
22;s;17830
23;not;17826
24;be;17502
25;but;17039
26;this;16445
27;which;15441
28;have;14846
29;or;14510
30;from;14025
31;my;12953
32;all;12760
33;her;11969
34;they;11934
35;we;11925
36;were;11294
37;him;10579
38;said;10494
39;she;10008
40;an;9923
41;so;9716
42;are;9674
43;one;9601
44;their;9482
45;no;9470
46;me;9381
47;been;8738
48;mr;8394
49;there;8209
50;would;8057
51;when;7983
52;if;7901
53;them;6950
54;what;6928
55;who;6878
56;will;6328
57;up;6313
58;out;6252
59;more;6034
60;its;5947
61;any;5922
62;very;5807
63;then;5712
64;could;5690
65;into;5676
66;some;5539
67;t;5531
68;time;5441
69;man;5260
70;other;5209
71;our;5059
72;upon;5046
73;do;5044
74;about;5036
75;than;4892
76;general;4858
77;has;4842
78;only;4829
79;now;4734
80;can;4712
81;old;4633
82;may;4378
83;these;4361
84;two;4319
85;your;4230
86;such;4020
87;little;3987
88;great;3891
89;did;3847
90;see;3724
91;should;3674
92;must;3672
93;made;3647
94;before;3595
95;how;3576
96;well;3550
97;after;3486
98;like;3455
99;first;3447
100;down;3405
101;most;3355
102;over;3326
103;us;3225
104;know;3210
105;same;3169
106;much;3149
107;where;3144
108;good;3140
109;being;3065
110;never;3056
111;here;3036
112;come;2929
113;gutenberg;2914
114;day;2902
115;say;2895
116;back;2866
117;own;2859
118;men;2855
119;many;2800
120;work;2793
121;project;2786
122;long;2774
123;came;2773
124;way;2720
125;without;2696
126;again;2613
127;life;2611
128;might;2552
129;under;2552
130;through;2523
131;even;2499
132;himself;2467
133;go;2427
134;found;2422
135;sir;2392
136;those;2390
137;make;2385
138;new;2382
139;every;2373
140;pickwick;2368
141;1;2316
142;m;2219
143;each;2216
144;am;2202
145;still;2180
146;right;2167
147;hand;2166
148;mrs;2144
149;while;2142
150;another;2139
151;d;2130
152;too;2110
153;went;2073
154;think;2056
155;away;2044
156;place;2037
157;head;2028
158;yet;2024
159;just;2015
160;thought;2010
161;between;1995
162;people;1993
163;last;1981
164;three;1954
165;young;1949
166;nothing;1936
167;years;1906
168;house;1898
169;shall;1898
170;night;1890
171;left;1886
172;once;1880
173;though;1879
174;having;1873
175;eyes;1870
176;off;1853
177;mind;1835
178;lady;1821
179;ever;1813
180;part;1803
181;saw;1802
182;thus;1802
183;far;1781
184;also;1774
185;take;1772
186;name;1771
187;species;1753
188;don;1743
189;took;1733
190;tm;1723
191;both;1691
192;god;1672
193;whole;1644
194;why;1641
195;against;1639
196;because;1583
197;thing;1570
198;let;1562
199;few;1544
200;however;1534
201;full;1532
202;tell;1523
203;works;1520
204;seemed;1516
205;room;1514
206;seen;1513
207;got;1507
208;replied;1502
209;dear;1501
210;quite;1483
